date,match_id,url_match,home,away,home_score,away_score,matchweek
25/4/2026,3achbi56yevn41ahu7amhx638,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3achbi56yevn41ahu7amhx638,Atlético,Athletic,3,2,32
25/4/2026,380ebum8hdpxn90su6vzm4bo4,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/380ebum8hdpxn90su6vzm4bo4,Valencia,Girona,2,1,32
25/4/2026,3apuzcf26kfvpej8uc98l2n10,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3apuzcf26kfvpej8uc98l2n10,Getafe,Barcelona,0,2,32
25/4/2026,38dsrz394cwn8gbxbm6ahnllg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/38dsrz394cwn8gbxbm6ahnllg,Alavés,Mallorca,2,1,32
24/4/2026,38r38grppqfwcb99s9ikyv6s4,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/38r38grppqfwcb99s9ikyv6s4,Betis,Real Madrid,1,1,32
13/4/2026,348p051ww3c5h5f7yu6puqplg,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/348p051ww3c5h5f7yu6puqplg,Levante,Getafe,1,0,31
12/4/2026,34zj5er2za9qrjro5eq94ack4,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/34zj5er2za9qrjro5eq94ack4,Athletic,Villarreal,1,2,31
12/4/2026,35q4pov6mhtlujc68n1nz7bpw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/35q4pov6mhtlujc68n1nz7bpw,Celta,Oviedo,0,3,31
12/4/2026,36img9yditg3x8kvo810l3ims,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/36img9yditg3x8kvo810l3ims,Mallorca,Rayo,3,0,31
12/4/2026,37mlon39zla9t9jjetz0zei38,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/37mlon39zla9t9jjetz0zei38,Osasuna,Betis,1,1,31
