week,match_id,team_code,Jersey Number,player_id,Team Formation,Team Player Formation,min,sec,minsec,team setp up,player on,formation change,second yellow,red card
23,2cbrliiyprq7a205rp3w1qz9w,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,18,31,18.5,0,1,0,0,0
24,2h7d8ukaxlbxzfalz2jej5us4,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,49,3,49.0,1,0,0,0,0
24,2h7d8ukaxlbxzfalz2jej5us4,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,57,10,57.2,0,0,1,0,0
25,2j5gbrfdr52r652taci2oin84,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,91,40,91.7,1,0,0,0,0
25,2j5gbrfdr52r652taci2oin84,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,11,46,11.8,0,0,1,0,0
27,2rswicw0gb42ehlbg8gcvyjh0,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,5.0,0,1,0.0,0,1,0,0,0
27,2rswicw0gb42ehlbg8gcvyjh0,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,41,57,42.0,0,0,1,0,0
27,2rswicw0gb42ehlbg8gcvyjh0,ALA,3.0,2ww626a9v31b072prdx0xf1g4,10,3.0,15,12,15.2,0,0,1,0,0
27,2rswicw0gb42ehlbg8gcvyjh0,ALA,3.0,2ww626a9v31b072prdx0xf1g4,10,3.0,19,29,19.5,0,0,1,0,0
28,2u1nsiwpvio7gzjecn4cnhq8k,ALA,3.0,2ww626a9v31b072prdx0xf1g4,12,3.0,80,42,80.7,1,0,0,0,0
30,31mkjysd2ypln9u9s88ge8qhg,ALA,3.0,2ww626a9v31b072prdx0xf1g4,2,3.0,47,8,47.1,1,0,0,0,0
33,3e4k0muk9qdqz748em5e5dtzo,ALA,3.0,2ww626a9v31b072prdx0xf1g4,10,3.0,64,1,64.0,1,0,0,0,0
33,3e4k0muk9qdqz748em5e5dtzo,ALA,3.0,2ww626a9v31b072prdx0xf1g4,10,3.0,7,54,7.9,0,0,1,0,0
35,3logguenlwy065aa7gb1hf3tg,ALA,3.0,2ww626a9v31b072prdx0xf1g4,10,10.0,0,4,0.1,0,1,0,0,0
35,3logguenlwy065aa7gb1hf3tg,ALA,3.0,2ww626a9v31b072prdx0xf1g4,10,3.0,15,0,15.0,0,0,1,0,0
35,3logguenlwy065aa7gb1hf3tg,ALA,3.0,2ww626a9v31b072prdx0xf1g4,11,3.0,17,25,17.4,0,0,1,0,0
37,3tkk80csb0shs70l1ucy03uok,ALA,3.0,2ww626a9v31b072prdx0xf1g4,12,3.0,23,28,23.5,0,1,0,0,0
37,3tkk80csb0shs70l1ucy03uok,ALA,3.0,2ww626a9v31b072prdx0xf1g4,11,3.0,25,47,25.8,0,0,1,0,0
3,7kvwnpl7nq950703yan4bspg,ALA,4.0,28psc296gj3umo59qqha8jil1,7,8.0,0,1,0.0,0,1,0,0,0
3,7kvwnpl7nq950703yan4bspg,ALA,4.0,28psc296gj3umo59qqha8jil1,7,10.0,16,36,16.6,0,0,1,0,0
