team_name,team_code,Jersey Number,player_name,player_id,Short Display Name,Display Name
Real Betis Balompié,BET,9,C. Ávila,cuxm7t8cql3v06hqf18wvcul1,Ávila,C. Ávila
Real Betis Balompié,BET,10,A. Ezzalzouli,96cbv23es0gucmd2v0qvk3iwa,Ezzalzouli,A. Ezzalzouli
Real Betis Balompié,BET,11,C. Bakambu,a68fosxpgtyxj64ex9f6nget,Bakambu,C. Bakambu
Real Betis Balompié,BET,12,R. Rodríguez,9ak3zczupeken1itsmkherbh1,Rodríguez,R. Rodríguez
Real Betis Balompié,BET,13,Adrián,2r4ox2h5r7doo3ys9ynm2nbo5,Adrián,Adrián
Real Betis Balompié,BET,14,S. Amrabat,4kfx8fzf54bli2a2o0i3fvhed,Amrabat,S. Amrabat
Real Betis Balompié,BET,15,Á. Fidalgo,733ho2s9aqwwxzbqfiia3b7bp,Fidalgo,Á. Fidalgo
Real Betis Balompié,BET,16,V. Gómez,79u84y1eb01yyp8mhpej75q1g,Gómez,V. Gómez
Real Betis Balompié,BET,17,Rodrigo Riquelme,bqmhsb2bsuuuijw2ci39l01k9,Riquelme,R. Riquelme
Real Betis Balompié,BET,18,N. Deossa,72pvwj4z6j8xwsgs6zlhr5e6s,Deossa,N. Deossa
Real Betis Balompié,BET,19,C. Hernández,8aao79b1g77c5jhp1n0w60xrd,Hernández,C. Hernández
Real Betis Balompié,BET,20,G. Lo Celso,dhtb9gizk25k1u3h0b7xgy4tl,Lo Celso,G. Lo Celso
Real Betis Balompié,BET,21,Marc Roca,4r6jcuotjs6rz8iwu20996z85,Roca,M. Roca
Real Betis Balompié,BET,22,Isco,45s1v9805id09m5zkcylueod1,Isco,Isco
Real Betis Balompié,BET,23,J. Firpo,9rfwfsz5cmckyjripqgtbc7op,Firpo,J. Firpo
Real Betis Balompié,BET,24,Aitor Ruibal,9226xt1t1m3fy4ob9l2r16609,Ruibal,A. Ruibal
Real Betis Balompié,BET,25,Pau López,26atxu4fr8f87oi8mt6z70mhh,López,P. López
Real Betis Balompié,BET,37,Dani Pérez,bdbqu8d13otbx5jt3lsv3qq6s,Pérez,D. Pérez
Real Betis Balompié,BET,40,Ángel Ortiz,cd0w7dewgwkiiqkg0jty8ae50,Ortiz,Á. Ortiz
Real Betis Balompié,BET,50,Iván Corralejo,3bbg1d1eis9t1ds9bn9ryhyc4,Corralejo,I. Corralejo
Real Betis Balompié,BET,52,Pablo García,5lsx1d5uu8hu6x6a2eocqhvys,García,P. García
Real Club Celta de Vigo,CEL,2,C. Starfelt,cksi669gcnskpytzh70a43it,Starfelt,C. Starfelt
Real Club Celta de Vigo,CEL,3,Óscar Mingueza,c3sl9ajm4q424r4u37iath3hl,Mingueza,Ó. Mingueza
Real Club Celta de Vigo,CEL,4,J. Aidoo,3qrk8nw6nc8o96n7jr1az21ux,Aidoo,J. Aidoo
Real Club Celta de Vigo,CEL,5,Sergio Carreira,5tc1y5n3h4ties7gbc3zd9j6y,Carreira,S. Carreira
Real Club Celta de Vigo,CEL,6,I. Moriba,64ctdbd0w5ikj0fkcuu9jdbhm,Moriba,I. Moriba
Real Club Celta de Vigo,CEL,7,Borja Iglesias,d12m2oz1lomkc1qxmpht38lat,Iglesias,B. Iglesias
Real Club Celta de Vigo,CEL,8,Fran Beltrán,e3czx0nsuw10acnftbr8ud0bt,Beltrán,F. Beltrán
Real Club Celta de Vigo,CEL,8,Fer López,9g4ojrys88awchyj6zgmd6oes,López,F. López
Real Club Celta de Vigo,CEL,9,Ferran Jutglà,9mlj7fxon5zy1qmktvvcwjrl6,Jutglà,F. Jutglà
Real Club Celta de Vigo,CEL,10,Iago Aspas,cs2yx3hiqjsb4i5ul2r5kmdat,Aspas,I. Aspas
Real Club Celta de Vigo,CEL,12,Manu Fernández,c2z40s3jlj0xsyoihce3ksdbe,Fernández,M. Fernández
Real Club Celta de Vigo,CEL,13,I. Radu,6wplm29z7qxxmujyc2ml19gix,Radu,I. Radu
Real Club Celta de Vigo,CEL,14,Álvaro Núñez,e1g4cho31825bw7apvh9xr0x6,Núñez,Á. Núñez
Real Club Celta de Vigo,CEL,14,Damián Rodríguez,81fw03v34t2u3xnwq5gpdbpck,Rodríguez,D. Rodríguez
Real Club Celta de Vigo,CEL,15,Bryan Zaragoza,bzv32rpgvs111w8e2gch452xg,Zaragoza,B. Zaragoza
Real Club Celta de Vigo,CEL,15,M. Vecino,9462218yklkts6mod3cbfryz9,Vecino,M. Vecino
Real Club Celta de Vigo,CEL,16,Miguel Román,a39ntr1ek9aavke18yucd0r2s,Román,M. Román
Real Club Celta de Vigo,CEL,17,Javi Rueda,75xbiozismh96vufhrhkng4mi,Rueda,J. Rueda
Real Club Celta de Vigo,CEL,18,Pablo Durán,9ksvo095xi2t4q4pvgxa836z8,Durán,P. Durán
Real Club Celta de Vigo,CEL,19,W. Swedberg,e91yegwfliqhfy9yyk19otafo,Swedberg,W. Swedberg
Real Club Celta de Vigo,CEL,20,Marcos Alonso,9i7lb16qty1t21bnc5h7skclx,Alonso,M. Alonso
Real Club Celta de Vigo,CEL,21,M. Ristić,18mddnpa54ygoaefaj0c5obf9,Ristić,M. Ristić
Real Club Celta de Vigo,CEL,22,Hugo Sotelo,c60m17adgxbewkrzizwtzd91w,Sotelo,H. Sotelo
Real Club Celta de Vigo,CEL,23,Hugo Álvarez,daid84a2zbh8rasleahdp8nis,Álvarez,H. Álvarez
Real Club Celta de Vigo,CEL,24,Carlos Domínguez,3sy16pz110zmyq073ao24l1ck,Domínguez,C. Domínguez
Real Club Celta de Vigo,CEL,29,Yoel Lago,6q341ss6es4r2m1o5s5e80nbo,Lago,Y. Lago
Real Club Celta de Vigo,CEL,30,Hugo González,3xu6rpdncvtd2adn94xaqavze,González,H. González
Real Club Celta de Vigo,CEL,32,Javi Rodríguez,79n0dyjagmleor1fpwl25qql0,Rodríguez,J. Rodríguez
Real Club Celta de Vigo,CEL,36,Andrés Antañón,96h53hatq4r3zsfvn5xl752c4,Antañón,A. Antañón
Real Club Celta de Vigo,CEL,38,Hugo Burcio,2h0nzzgjm960f5i93ncgp4mxg,Burcio,H. Burcio
Real Club Celta de Vigo,CEL,39,J. El Abdellaoui,530jf9kq6s7dqggz6how0lt04,El Abdellaoui,J. El Abdellaoui
Elche CF,ELC,1,M. Dituro,8rgy29sd9okehwq8bzyb3v0t1,Dituro,M. Dituro
Elche CF,ELC,3,Adrià Pedrosa,8rprxly1blrhq9cwhfqoheeax,Pedrosa,A. Pedrosa
Elche CF,ELC,3,Jairo Izquierdo,3lgfd54rnqbz247l5x18egd79,Izquierdo,J. Izquierdo
Elche CF,ELC,4,Bambo Diaby,1shws5hqogav06tvx8xm5ofe1,Diaby,B. Diaby
Elche CF,ELC,5,F. Redondo,b8yk8yve4u39s9gjjvedzf6l0,Redondo,F. Redondo
Elche CF,ELC,6,Pedro Bigas,33r4ae8aivh27ho0ix9mnkedx,Bigas,P. Bigas
Elche CF,ELC,7,Yago Santiago,2b231y5sxluy2p7lv5kywv4ve,Santiago,Y. Santiago
Elche CF,ELC,8,Marc Aguado,z0qe6u5fvgrjy0jzk1qhbgq2,Aguado,M. Aguado
Elche CF,ELC,9,André Silva,dhhmffih4gl51nlu92hfctqs5,Silva,A. Silva
Elche CF,ELC,10,Rafa Mir,4sojot9t32l4a6fm3e39xkcfd,Mir,R. Mir
Elche CF,ELC,11,Germán Valera,5mgmcero3ui4a24v1w1upx3sa,Valera,G. Valera
Elche CF,ELC,12,Gonzalo Villar,bh4a2zneilpvi1t7etuhkfl61,Villar,G. Villar
Elche CF,ELC,13,Iñaki Peña,4mxx1oxkiexm0ha34utcmb17t,Peña,I. Peña
Elche CF,ELC,14,Aleix Febas,90ga4jxu6ydpoliajft8w9y39,Febas,A. Febas
Elche CF,ELC,15,Álvaro Núñez,e1g4cho31825bw7apvh9xr0x6,Núñez,Á. Núñez
Elche CF,ELC,15,Tete Morente,1i9mqbswolg91evnmsrf5katx,Morente,T. Morente
Elche CF,ELC,16,Martim Neto,dkdy6ighxc2j05suqc2odry3u,Neto,M. Neto
Elche CF,ELC,17,Josan,ac5f9msbvijksbq5s2ivwh979,Josan,Josan
Elche CF,ELC,18,John Donald,clrlsy05spf55w39f84b7p3sa,Donald,J. Donald
Elche CF,ELC,19,G. Diangana,dce6e4b9ckqkxj1zpsh8poz55,Diangana,G. Diangana
Elche CF,ELC,19,M. El Ghezouani,3b1t1bhcalqyj33n6zer7o86i,El Ghezouani,M. El Ghezouani
Elche CF,ELC,20,Á. Rodríguez,osme4gegtnhlldt4lsqf56ac,Rodríguez,Á. Rodríguez
Elche CF,ELC,21,L. Pétrot,dfss2zdkn61bbq312zhxlddyh,Pétrot,L. Pétrot
Elche CF,ELC,22,D. Affengruber,7o7vwlqxknci1fymzkn9hug6i,Affengruber,D. Affengruber
Elche CF,ELC,23,Víctor Chust,8nbnru9t2qxaotxw0hiaocdt5,Chust,V. Chust
Elche CF,ELC,24,L. Cepeda,d87uduceapind7lgv6273xedw,Cepeda,L. Cepeda
Elche CF,ELC,30,Rodrigo Mendoza,1filh68q6hdk921qkdo7rsvmc,Mendoza,R. Mendoza
Elche CF,ELC,32,A. El Mokhtari,9rr6g0wel9f0noof3d9dwrehg,El Mokhtari,A. El Mokhtari
Elche CF,ELC,35,A. Houary,1zpt144smsq4ggjpvfhq55udw,Houary,A. Houary
Elche CF,ELC,38,Alex Sánchez,coiof0pcf90xmyoea9ktrdn9w,Sánchez,A. Sánchez
Elche CF,ELC,39,Héctor Fort,8xjdsfk5u7wph4o7h1w45dses,Fort,H. Fort
Elche CF,ELC,42,Buba Sangaré,anzk8a183bh3gf3gcuz0v0tuc,Sangaré,B. Sangaré
Reial Club Deportiu Espanyol de Barcelona,ESP,1,Ángel Fortuño,1wylybleussatoxg8u6reao2y,Fortuño,Á. Fortuño
Reial Club Deportiu Espanyol de Barcelona,ESP,2,Rubén Sánchez,4ypoy27moehhbiaf3o1bntht6,Sánchez,R. Sánchez
Reial Club Deportiu Espanyol de Barcelona,ESP,4,Urko González de Zárate,7y8ns61qioqu7kfsqzkvkwhuy,González,U. González
Reial Club Deportiu Espanyol de Barcelona,ESP,5,Fernando Calero,2rqxh5mex336ci45jaw428y5l,Calero,F. Calero
Reial Club Deportiu Espanyol de Barcelona,ESP,6,L. Cabrera,6810qbng9pfg1bztczv11grmd,Cabrera,L. Cabrera
Reial Club Deportiu Espanyol de Barcelona,ESP,7,Javi Puado,e5qp6dh1prc55llew51zpy1gp,Puado,J. Puado
Reial Club Deportiu Espanyol de Barcelona,ESP,8,Edu Expósito,8qvqdjw1d58mw7420lpmk7bah,Expósito,E. Expósito
Reial Club Deportiu Espanyol de Barcelona,ESP,9,Roberto Fernández,5fqvl0m1rkzhj9tmafrcxur6c,Fernández,R. Fernández
Reial Club Deportiu Espanyol de Barcelona,ESP,10,Pol Lozano,74wjzeja92l4q8fpy1bkmcsfd,Lozano,P. Lozano
Reial Club Deportiu Espanyol de Barcelona,ESP,11,Pere Milla,1ore4ght7ls393tcpbmah9dcl,Milla,P. Milla
Reial Club Deportiu Espanyol de Barcelona,ESP,12,José Salinas,3ghychnf02zs5pmw2s0ds3p7u,Salinas,J. Salinas
Reial Club Deportiu Espanyol de Barcelona,ESP,13,M. Dmitrović,bahph7009sc73jl6s2bramn6d,Dmitrović,M. Dmitrović
Reial Club Deportiu Espanyol de Barcelona,ESP,14,Ramon Terrats,20ebw399jhbq0i5x2eacrrs6i,Terrats,R. Terrats
Reial Club Deportiu Espanyol de Barcelona,ESP,15,Miguel Rubio,6x42rn7aburucovfe7mke9ld6,Rubio,M. Rubio
Reial Club Deportiu Espanyol de Barcelona,ESP,16,C. Ngonge,a9z0jsjwfteq974bxwucvc4ix,Ngonge,C. Ngonge
Reial Club Deportiu Espanyol de Barcelona,ESP,16,L. Koleosho,4ho3e7wi6z5tq8g87l8tjtwtm,Koleosho,L. Koleosho
Reial Club Deportiu Espanyol de Barcelona,ESP,17,Jofre Carreras,59u1gn30f6bg5lr06zsglykq2,Carreras,J. Carreras
Reial Club Deportiu Espanyol de Barcelona,ESP,18,C. Pickel,a8ez7qv4n62b8s45pdo8u07o5,Pickel,C. Pickel
Reial Club Deportiu Espanyol de Barcelona,ESP,19,Kike García,4l2rgx65vzgrrxorbc1edq8yd,García,K. García
Reial Club Deportiu Espanyol de Barcelona,ESP,20,Antoniu Roca,1am59svvwz5idpdjq307dd5hw,Roca,A. Roca
Reial Club Deportiu Espanyol de Barcelona,ESP,22,Carlos Romero,5djkwcoflvxcv5oida6txfyp6,Romero,C. Romero
Reial Club Deportiu Espanyol de Barcelona,ESP,23,O. El Hilali,7h0b81yjiiu356rycsakgd0yc,El Hilali,O. El Hilali
Reial Club Deportiu Espanyol de Barcelona,ESP,24,T. Dolan,bce703taa20nxg814t2giuei,Dolan,T. Dolan
